,precision,recall,f1-score,support
Fetal abdomen,0.6767676767676768,0.9436619718309859,0.788235294117647,71.0
Fetal brain,0.9868852459016394,0.9741100323624595,0.9804560260586319,309.0
Fetal femur,0.8558558558558559,0.9134615384615384,0.8837209302325582,104.0
Fetal thorax,0.797979797979798,0.9186046511627907,0.8540540540540541,172.0
Maternal cervix,0.9939024390243902,1.0,0.9969418960244648,163.0
Other,0.9586776859504132,0.8266033254156769,0.8877551020408163,421.0
accuracy,0.9129032258064517,0.9129032258064517,0.9129032258064517,0.9129032258064517
macro avg,0.8783447835799624,0.929406919872242,0.8985272170880286,1240.0
weighted avg,0.9232814384207625,0.9129032258064517,0.9144970314412297,1240.0
